Date,Week,Month,Year,Truck_current,Barge_current,week_sin,week_cos,Pacific_Vessel_lag_1,Pacific_Vessel_lag_2,Pacific_Vessel_lag_4,Pacific_Vessel_lag_8,Pacific_Vessel_lag_13,Pacific_Vessel_lag_26,Pacific_Vessel_lag_52,Pacific_Vessel_rolling_mean_4,Pacific_Vessel_rolling_mean_8,Pacific_Vessel_rolling_mean_13,Pacific_Vessel_rolling_mean_26,Pacific_Vessel_rolling_std_4,Pacific_Vessel_rolling_std_8,Pacific_Vessel_rolling_std_13,Pacific_Vessel_rolling_std_26,Pacific_Vessel_change_1w,Pacific_Vessel_change_4w,Pacific_Vessel_pct_change_1w,Pacific_Vessel_pct_change_4w,target
2003-08-27,34,8,2003,57.0,57.49,-0.8229838658936564,-0.5680647467311559,103.04,103.42,106.98,109.83,109.26,91.88,52.4,103.015,107.0,106.96461538461539,102.80115384615384,3.4254877998128883,4.851544673017491,3.8675005179586694,6.880407154768144,-0.37999999999999545,-8.029999999999987,-0.003674337652291637,-0.07229674979742495,92.64
2003-09-03,35,8,2003,57.0,57.49,-0.8854560256532096,-0.4647231720437691,97.05,103.04,98.62,110.97,106.32,90.55,53.25,100.5325,105.4025,106.02538461538461,103.0,3.183848562144098,5.798274989782868,4.664167691712053,6.622012382954297,-5.990000000000009,-9.930000000000007,-0.05813276397515532,-0.09282108805384193,93.11
2003-09-10,36,9,2003,56.0,60.85,-0.9350162426854147,-0.3546048870425359,92.64,97.05,103.42,112.07,104.09,88.65,57.77,99.0375,103.11125,104.97307692307693,103.08038461538462,5.167348610909379,6.816216875950955,5.956366880091979,6.475910117207765,-4.409999999999997,-5.980000000000004,-0.045440494590417324,-0.06063678766984393,95.96
2003-09-17,37,9,2003,55.0,75.84,-0.970941817426052,-0.23931566428755774,93.11,92.64,103.04,111.07,107.03,93.73,59.43,96.46000000000001,100.74125,104.12846153846155,103.25192307692308,4.811770290998295,6.547150825249864,6.809420981446536,6.128108366685939,0.46999999999999886,-10.310000000000002,0.0050734024179619475,-0.09969058209243864,108.41
2003-09-24,38,9,2003,54.0,83.48,-0.992708874098054,-0.12053668025532357,95.96,93.11,97.05,106.98,107.84,94.2,61.47,94.69,98.8525,103.27692307692307,103.33769230769232,2.151077249504028,5.178176044019332,7.102211374653429,6.003854300492186,2.8499999999999943,-7.0800000000000125,0.030608957147459925,-0.06871118012422373,128.6
2003-10-01,39,9,2003,54.0,92.04,-1.0,-1.8369701987210297e-16,108.41,95.96,92.64,98.62,109.83,94.54,63.04,97.53,99.03125,103.32076923076923,103.88423076923075,7.400175673590482,5.512692983340354,7.134415955468335,5.781422782033457,12.450000000000003,11.36,0.12974155898290962,0.11705306543019067,155.91
2003-10-08,40,10,2003,55.0,91.13,-0.992708874098054,0.1205366802553232,128.6,108.41,93.11,103.42,110.97,99.62,65.61,106.52,102.77875,104.76461538461538,105.19423076923076,16.14971826379643,11.799033177704436,9.917858988868371,7.251364656712246,20.189999999999998,35.959999999999994,0.18623743197122034,0.38816925734024177,180.62
2003-10-15,41,10,2003,56.0,81.95,-0.9709418174260521,0.23931566428755738,155.91,128.6,95.96,103.04,112.07,104.23,63.18,122.22,109.33999999999999,108.22153846153847,107.35923076923078,26.179025955905992,22.208874674006175,17.32617617275177,12.220812713752533,27.310000000000002,62.8,0.21236391912908248,0.674471055740522,182.14
2003-10-22,42,10,2003,57.0,93.27,-0.9350162426854148,0.35460488704253557,180.62,155.91,108.41,97.05,111.07,103.37,64.56,143.385,119.0375,113.49461538461539,110.2973076923077,31.544506653298605,33.25540804569557,26.563781299413638,18.832541104735142,24.710000000000008,84.66000000000001,0.15848887178500415,0.8822426010837852,199.48
2003-10-29,43,10,2003,57.0,107.03,-0.8854560256532101,0.464723172043768,182.14,180.62,128.6,92.64,106.98,102.8,66.37,161.8175,129.67375,118.96153846153847,113.32692307692308,25.19814063907626,38.42412186467542,32.64121827948877,23.444706996545012,1.5199999999999818,73.72999999999999,0.008415457867345655,0.6801033115026289,197.2
2003-11-05,44,11,2003,56.0,84.7,-0.822983865893657,0.5680647467311548,199.48,182.14,155.91,93.11,98.62,102.23,68.5,179.53750000000002,143.02875,126.07692307692308,117.0453846153846,17.924907019749547,42.104390146905786,39.22890290432456,28.770396483992958,17.340000000000003,70.88,0.09520149335675865,0.5511664074650078,187.46
2003-11-12,45,11,2003,56.0,66.97,-0.7485107481711011,0.6631226582407952,197.2,199.48,180.62,95.96,103.42,105.75,70.31,189.85999999999999,156.04,133.66,120.69807692307691,9.855556808217381,40.52822543787055,42.84074345760122,32.58942368551256,-2.280000000000001,41.28999999999999,-0.011429717264888728,0.26483227503046636,186.03
2003-11-19,46,11,2003,56.0,59.02,-0.6631226582407955,0.7485107481711007,187.46,197.2,182.14,108.41,103.04,110.74,72.83,191.57,167.47750000000002,140.12461538461537,123.84076923076921,8.166639455736984,33.4425694287984,44.21599232091347,34.94491859175832,-9.73999999999998,6.840000000000003,-0.049391480730223036,0.03786956040305611,194.63
2003-11-26,47,11,2003,56.0,57.49,-0.5680647467311559,0.8229838658936564,186.03,187.46,199.48,128.6,97.05,109.26,76.06,192.5425,177.18,146.50846153846152,126.73653846153846,6.783943666236234,23.69736513382271,44.40616320702829,36.88171969334487,-1.4300000000000068,3.890000000000015,-0.007628294036061023,0.02135719775996492,199.24
