Date,Week,Month,Year,Truck_current,Barge_current,week_sin,week_cos,Gulf_Vessel_lag_1,Gulf_Vessel_lag_2,Gulf_Vessel_lag_4,Gulf_Vessel_lag_8,Gulf_Vessel_lag_13,Gulf_Vessel_lag_26,Gulf_Vessel_lag_52,Gulf_Vessel_rolling_mean_4,Gulf_Vessel_rolling_mean_8,Gulf_Vessel_rolling_mean_13,Gulf_Vessel_rolling_mean_26,Gulf_Vessel_rolling_std_4,Gulf_Vessel_rolling_std_8,Gulf_Vessel_rolling_std_13,Gulf_Vessel_rolling_std_26,Gulf_Vessel_change_1w,Gulf_Vessel_change_4w,Gulf_Vessel_pct_change_1w,Gulf_Vessel_pct_change_4w,target
2003-08-27,34,8,2003,57.0,57.49,-0.8229838658936564,-0.5680647467311559,86.3,86.04,82.89,78.03,79.56,71.37,52.96,84.2,82.66250000000001,80.94615384615385,80.60653846153846,2.3401282016159692,2.917639701637485,3.2619256543272988,4.970244213161183,0.2599999999999909,1.6599999999999966,0.0030218503021848253,0.019612476370510334,86.35
2003-09-03,35,8,2003,57.0,57.49,-0.8854560256532096,-0.4647231720437691,84.31,86.3,81.57,79.86,79.58,72.21,56.09,84.555,83.44749999999999,81.31153846153846,81.10423076923077,2.1771923816385668,2.2650370542538014,3.3583275752320074,4.645621743600754,-1.9899999999999949,1.4200000000000017,-0.023059096176129668,0.017131137652310224,88.71
2003-09-10,36,9,2003,56.0,60.85,-0.9350162426854147,-0.3546048870425359,86.35,84.31,86.04,81.97,77.8,74.14,57.72,85.75,84.25875,81.8323076923077,81.64807692307691,0.9695703515809638,1.9347235867541315,3.584720244421983,4.382993515149995,2.039999999999992,4.780000000000001,0.024196417981259488,0.0585999754811819,87.47
2003-09-17,37,9,2003,55.0,75.84,-0.970941817426052,-0.23931566428755774,88.71,86.35,86.3,84.64,77.32,76.63,58.73,86.41749999999999,85.10125,82.67153846153846,82.20846153846153,1.7995809697439935,2.2392245947457425,3.8306849825973646,4.315555762409093,2.3599999999999994,2.6699999999999875,0.027330631152287177,0.031032078103207628,85.56
2003-09-24,38,9,2003,54.0,83.48,-0.992708874098054,-0.12053668025532357,87.47,88.71,84.31,82.89,76.74,76.51,62.29,86.71000000000001,85.455,83.4523076923077,82.62538461538462,1.8679043515835312,2.3753495983298283,3.680480389492029,4.278530804628461,-1.2399999999999949,1.1700000000000017,-0.013978130988614557,0.013557358053302382,95.93
2003-10-01,39,9,2003,54.0,92.04,-1.0,-1.8369701987210297e-16,85.56,87.47,86.35,81.57,78.03,77.09,62.6,87.0225,85.78875000000001,84.13076923076923,82.97346153846154,1.3710184778713426,2.139315227556967,3.108516424111963,4.126546199724703,-1.9099999999999966,1.25,-0.02183605807705491,0.014826236508124868,107.7
2003-10-08,40,10,2003,55.0,91.13,-0.992708874098054,0.1205366802553232,95.93,85.56,88.71,86.04,79.86,78.79,61.33,89.4175,87.58375,85.50769230769232,83.69807692307693,4.5308672826878285,3.611639665225281,4.013622955730728,4.670394432362973,10.370000000000005,9.580000000000013,0.12120149602618047,0.1109438332368271,115.74
2003-10-15,41,10,2003,56.0,81.95,-0.9709418174260521,0.23931566428755738,107.7,95.93,87.47,86.3,81.97,81.74,61.78,94.165,90.29125,87.64923076923075,84.81,10.085972106511608,7.882562015523347,7.037350900183042,6.527394579769249,11.769999999999996,18.99000000000001,0.12269363077243822,0.21406831247886382,116.32
2003-10-22,42,10,2003,57.0,93.27,-0.9350162426854148,0.35460488704253557,115.74,107.7,85.56,84.31,84.64,82.2,62.93,101.2325,93.97125,90.24692307692307,86.11769230769231,13.241851267855099,11.700507238699407,10.26078813137287,8.87231753610856,8.039999999999992,28.269999999999996,0.07465181058495807,0.32319652452269354,118.94
2003-10-29,43,10,2003,57.0,107.03,-0.8854560256532101,0.464723172043768,116.32,115.74,95.93,86.35,82.89,86.8,63.46,108.9225,97.9725,92.68384615384616,87.43,9.513164124867242,13.289952972076314,12.364503318277343,10.620744983286299,0.5799999999999983,30.75999999999999,0.005011232071885141,0.3595137914913509,120.72
2003-11-05,44,11,2003,56.0,84.7,-0.822983865893657,0.5680647467311548,118.94,116.32,107.7,88.71,81.57,88.84,63.82,114.675,102.04625,95.45692307692306,88.66615384615383,4.853902210249022,14.183239542804442,13.928591927288345,12.284557485533849,2.6200000000000045,23.00999999999999,0.022524071526822675,0.2398623996664233,115.48
2003-11-12,45,11,2003,56.0,66.97,-0.7485107481711011,0.6631226582407952,120.72,118.94,115.74,87.47,86.04,90.24,63.08,117.92999999999999,106.04750000000001,98.46846153846153,89.89230769230768,2.323244857233068,14.397040122390246,14.87599511862079,13.800127334975562,1.7800000000000011,13.019999999999996,0.014965528838069675,0.12089136490250696,114.37
2003-11-19,46,11,2003,56.0,59.02,-0.6631226582407955,0.7485107481711007,115.48,120.72,116.32,85.56,86.3,86.91,61.81,117.865,109.54875,100.73307692307692,90.86307692307693,2.407065987184376,12.516856562823035,15.06596129503818,14.684951145776665,-5.239999999999995,-0.2599999999999909,-0.04340622929092108,-0.002246414377051975,117.77
2003-11-26,47,11,2003,56.0,57.49,-0.5680647467311559,0.8229838658936564,114.37,115.48,118.94,95.93,84.31,79.56,62.29,117.3775,113.14999999999999,102.8923076923077,91.91923076923078,2.958562432442476,7.934861597496778,14.834758257689987,15.361173633046947,-1.1099999999999994,-1.9499999999999886,-0.00961205403533083,-0.016764099037138824,124.94
2003-12-03,48,11,2003,56.0,61.16,-0.4647231720437684,0.88545602565321,117.77,114.37,120.72,107.7,86.35,79.58,63.29,117.085,115.88,105.46615384615384,93.38884615384616,2.806522165716848,3.8900422326022777,14.232484286812248,15.948039459926918,3.3999999999999915,-1.1700000000000017,0.029728075544285915,-0.00983689255086595,128.43
2003-12-10,49,12,2003,56.0,67.58,-0.35460488704253595,0.9350162426854147,124.94,117.77,115.48,115.74,88.71,77.8,63.34,118.14,118.035,108.4346153846154,95.13346153846153,4.7492244980971865,3.462987974897778,13.934411012181629,16.833483761196405,7.170000000000002,4.219999999999999,0.06088137895898793,0.03495692511597093,130.38
2003-12-17,50,12,2003,56.0,65.44,-0.2393156642875578,0.970941817426052,128.43,124.94,114.37,116.32,87.47,77.32,64.0,121.3775,119.62125,111.49,97.08076923076922,6.4432981978688035,4.87860471124403,13.599659309458143,17.656469391829646,3.490000000000009,12.950000000000003,0.02793340803585731,0.11214063041219258,130.59
2003-12-31,52,12,2003,57.0,61.46,6.432490598706546e-16,1.0,130.59,130.38,124.94,120.72,95.93,78.03,64.96,128.585,122.835,118.25461538461538,101.19269230769231,2.6173841903686244,6.640587323422622,9.56053225103471,18.742080473136927,0.21000000000000796,12.820000000000007,0.0016106764841234966,0.10885624522374115,131.27
2004-07-07,27,7,2004,65.0,46.17,-0.12053668025532283,-0.992708874098054,97.46,94.01,121.31,161.15,184.94,131.27,79.86,105.88250000000001,122.555,143.2330769230769,157.42615384615385,12.56443492561439,21.848116623635903,32.53067869581348,29.663209007377972,3.4499999999999886,-33.280000000000015,0.03669822359323471,-0.254551017286217,123.65
2004-07-14,28,7,2004,66.0,44.65,-0.23931566428755743,-0.9709418174260521,107.72,97.46,110.75,133.26,184.54,147.9,81.97,102.48500000000001,115.87625,137.2930769230769,156.52038461538461,8.016476782227926,15.652653757202042,31.30756707906658,30.83042373770038,10.260000000000005,-13.590000000000003,0.10527395854709631,-0.11202703816668047,122.58
2004-07-21,29,7,2004,66.0,46.79,-0.3546048870425356,-0.9350162426854148,123.65,107.72,94.01,131.76,182.14,150.22,84.64,105.71000000000001,114.67500000000001,132.60923076923078,155.5876923076923,13.302082543722193,14.450563014241531,28.033651641535606,31.46198281198347,15.930000000000007,12.900000000000006,0.1478834014110657,0.1164785553047405,125.75
2004-07-28,30,7,2004,66.0,59.94,-0.46472317204376806,-0.8854560256532101,122.58,123.65,97.46,130.74,168.93,158.23,82.89,112.85249999999999,113.5275,128.0276923076923,154.52461538461537,12.57619278637207,13.2114082195219,23.813580563005793,32.110883666541454,-1.0700000000000074,28.569999999999993,-0.008653457339264148,0.3039038400170193,131.57
